Player,Team,GP,Snaps/G,R Att,Ru Yds,Ru YPG,Ru YPA,Ru TD,TAR,REC,Rec Yds,Rec YPC,Rec TD,FP,PPG,position
Derrick Henry,BAL,16.0,44.0,378.0,2027.0,126.7,5.4,17.0,31.0,19.0,114.0,6.0,0.0,314.1,19.6,rb
Alvin Kamara,NO,15.0,43.9,187.0,932.0,62.1,5.0,16.0,107.0,83.0,756.0,9.1,5.0,294.8,19.7,rb
Dalvin Cook,BAL,14.0,47.8,312.0,1557.0,111.2,5.0,16.0,54.0,44.0,361.0,8.2,1.0,293.8,21.0,rb
Jonathan Taylor,IND,15.0,34.1,232.0,1169.0,77.9,5.0,11.0,39.0,36.0,299.0,8.3,1.0,216.8,14.5,rb
Aaron Jones,MIN,14.0,38.5,201.0,1104.0,78.9,5.5,9.0,63.0,47.0,355.0,7.6,2.0,211.9,15.1,rb
David Montgomery,DET,15.0,50.6,247.0,1070.0,71.3,4.3,8.0,68.0,54.0,438.0,8.1,2.0,210.8,14.1,rb
James Robinson,NO,14.0,0.0,240.0,1070.0,76.4,4.5,7.0,60.0,49.0,344.0,7.0,3.0,201.4,14.4,rb
Josh Jacobs,GB,15.0,41.1,273.0,1065.0,71.0,3.9,12.0,45.0,33.0,238.0,7.2,0.0,198.3,13.2,rb
Nick Chubb,CLE,12.0,34.2,190.0,1067.0,88.9,5.6,12.0,18.0,16.0,150.0,9.4,0.0,191.7,16.0,rb
Kareem Hunt,CLE,16.0,34.2,198.0,841.0,52.6,4.2,6.0,51.0,38.0,304.0,8.0,5.0,180.5,11.3,rb
Ezekiel Elliott,DAL,15.0,52.5,244.0,979.0,65.3,4.0,6.0,71.0,52.0,338.0,6.5,2.0,171.7,11.4,rb
Kenyan Drake,GB,15.0,38.9,239.0,955.0,63.7,4.0,10.0,31.0,25.0,137.0,5.5,0.0,167.2,11.1,rb
Melvin Gordon,BAL,15.0,41.1,215.0,986.0,65.7,4.6,9.0,44.0,32.0,158.0,4.9,1.0,166.4,11.1,rb
Antonio Gibson,NE,14.0,29.0,170.0,795.0,56.8,4.7,11.0,44.0,36.0,247.0,6.9,0.0,166.2,11.9,rb
Ronald Jones,DAL,14.0,32.2,192.0,978.0,69.9,5.1,7.0,42.0,28.0,165.0,5.9,1.0,158.3,11.3,rb
Chris Carson,SEA,12.0,33.6,141.0,681.0,56.8,4.8,5.0,46.0,37.0,287.0,7.8,4.0,150.8,12.6,rb
J.K. Dobbins,LAC,15.0,30.4,134.0,805.0,53.7,6.0,9.0,24.0,18.0,120.0,6.7,0.0,150.5,10.0,rb
Mike Davis,BAL,15.0,38.5,165.0,642.0,42.8,3.9,6.0,70.0,59.0,373.0,6.3,2.0,147.5,9.8,rb
