Player,Team,GP,Snaps/G,R Att,Ru Yds,Ru YPG,Ru YPA,Ru TD,TAR,REC,Rec Yds,Rec YPC,Rec TD,FP,PPG
Christian McCaffrey,SF,16,37.5,272,1459,91.2,5.4,14,83,67,564,8.4,7,324.3,20.3
Raheem Mostert,MIA,15,28.8,209,1012,67.5,4.8,18,32,25,175,7.0,3,242.7,16.2
Travis Etienne,JAC,17,45.3,267,1008,59.3,3.8,11,73,58,476,8.2,1,224.4,13.2
Kyren Williams,LA,12,51.9,228,1144,95.3,5.0,12,48,32,206,6.4,3,223.0,18.6
Derrick Henry,BAL,17,26.9,280,1167,68.6,4.2,12,36,28,214,7.6,,218.7,12.9
Joe Mixon,HOU,17,28.1,257,1034,60.8,4.0,9,64,52,376,7.2,3,215.0,12.6
Breece Hall,NYJ,17,31.4,223,994,58.5,4.5,5,95,76,591,7.8,4,214.5,12.6
Rachaad White,TB,17,44.9,272,990,58.2,3.6,6,70,64,549,8.6,3,203.9,12.0
David Montgomery,DET,14,28.3,219,1015,72.5,4.6,13,24,16,117,7.3,,191.2,13.7
Jahmyr Gibbs,DET,15,29.6,182,945,63.0,5.2,10,71,52,316,6.1,1,190.1,12.7
James Cook,BUF,17,26.0,237,1122,66.0,4.7,2,54,44,445,10.1,4,188.7,11.1
Bijan Robinson,ATL,17,45.3,214,976,57.4,4.6,4,86,58,487,8.4,4,188.3,11.1
Saquon Barkley,PHI,14,37.2,247,962,68.7,3.9,6,60,41,280,6.8,4,182.2,13.0
Gus Edwards,LAC,17,19.1,198,810,47.6,4.1,13,13,12,180,15.0,,175.0,10.3
James Conner,ARI,13,33.1,208,1040,80.0,5.0,7,33,27,165,6.1,2,174.5,13.4
Kenneth Walker,SEA,15,27.9,219,905,60.3,4.1,8,37,29,259,8.9,1,170.4,11.4
Isiah Pacheco,KC,14,24.2,205,935,66.8,4.6,7,49,44,244,5.5,2,169.9,12.1
Tony Pollard,TEN,17,36.8,252,1005,59.1,4.0,6,67,55,311,5.7,,167.6,9.9
Jerome Ford,CLE,17,34.5,204,813,47.8,4.0,4,63,44,319,7.3,5,167.2,9.8
Najee Harris,PIT,17,22.1,255,1035,60.9,4.1,8,38,29,170,5.9,,166.5,9.8
De'Von Achane,MIA,11,21.3,103,800,72.7,7.8,8,37,27,197,7.3,3,163.7,14.9
Brian Robinson,WAS,15,27.7,178,733,48.9,4.1,5,43,36,368,10.2,4,162.1,10.8
D'Andre Swift,CHI,16,28.7,229,1049,65.6,4.6,5,49,39,214,5.5,1,160.3,10.0
Alvin Kamara,NO,13,37.8,180,694,53.4,3.9,5,86,75,466,6.2,1,158.0,12.2
Josh Jacobs,GB,13,39.4,233,805,61.9,3.5,6,54,37,296,8.0,,144.1,11.1
Chuba Hubbard,CAR,17,38.2,238,902,53.1,3.8,5,44,39,233,6.0,,143.5,8.4
Zack Moss,CIN,14,36.6,183,794,56.7,4.3,5,37,27,192,7.1,2,142.6,10.2
Jonathan Taylor,IND,10,38.6,169,741,74.1,4.4,7,23,19,153,8.1,1,137.4,13.7
Devin Singletary,NYG,17,37.0,216,898,52.8,4.2,4,38,30,193,6.4,,137.3,8.1
Jaylen Warren,PIT,17,18.8,149,784,46.1,5.3,4,74,61,370,6.1,,135.4,8.0
Austin Ekeler,WAS,14,22.2,179,628,44.9,3.5,5,74,51,436,8.5,1,134.4,9.6
Javonte Williams,DEN,16,19.6,217,774,48.4,3.6,3,58,47,228,4.9,2,132.2,8.3
Ezekiel Elliott,DAL,17,25.8,184,642,37.8,3.5,3,65,51,313,6.1,2,123.5,7.3
Tyler Allgeier,ATL,17,21.1,186,683,40.2,3.7,4,23,18,193,10.7,1,119.6,7.0
Rhamondre Stevenson,NE,12,40.4,156,619,51.6,4.0,4,51,38,238,6.3,,107.7,9.0
Aaron Jones,MIN,11,23.9,142,656,59.6,4.6,2,43,30,233,7.8,1,104.9,9.5
Kareem Hunt,CLE,15,22.6,135,411,27.4,3.0,9,21,15,84,5.6,,103.5,6.9
Alexander Mattison,LV,16,27.7,180,700,43.8,3.9,,44,30,192,6.4,3,103.2,6.5
Tyjae Spears,TEN,17,25.6,100,453,26.6,4.5,2,70,52,385,7.4,1,101.8,6.0
AJ Dillon,GB,15,25.1,178,613,40.9,3.4,2,28,22,223,10.1,,95.6,6.4
Khalil Herbert,CHI,12,26.5,132,611,50.9,4.6,2,31,20,134,6.7,1,92.5,7.7
Justice Hill,BAL,16,19.5,84,387,24.2,4.6,3,39,28,206,7.4,1,81.3,5.1
D'Onta Foreman,CLE,9,23.3,109,425,47.2,3.9,4,16,11,77,7.0,1,80.2,8.9
Ty Chandler,MIN,17,10.5,102,461,27.1,4.5,3,25,21,159,7.6,,80.0,4.7
Antonio Gibson,NE,16,24.5,65,265,16.6,4.1,1,59,48,389,8.1,2,79.4,5.0
Jaleel McLaughlin,DEN,17,7.1,76,410,24.1,5.4,1,36,31,160,5.2,2,75.0,4.4
Rico Dowdle,DAL,16,10.6,89,361,22.6,4.1,2,22,17,144,8.5,2,74.5,4.7
Zach Charbonnet,SEA,16,18.9,108,462,28.9,4.3,1,40,33,209,6.3,,73.1,4.6
Samaje Perine,DEN,17,13.3,53,238,14.0,4.5,1,56,50,455,9.1,,71.3,4.2
Roschon Johnson,CHI,15,17.7,81,352,23.5,4.3,2,40,34,209,6.1,,68.1,4.5
Kenneth Gainwell,PHI,16,18.2,84,364,22.8,4.3,2,37,30,183,6.1,,67.4,4.2
Latavius Murray,BUF,16,16.7,79,300,18.8,3.8,4,22,17,119,7.0,,65.9,4.1
Dameon Pierce,HOU,14,21.3,145,416,29.7,2.9,2,17,13,101,7.8,,63.7,4.5
Keaton Mitchell,BAL,8,6.6,47,396,49.5,8.4,2,11,9,93,10.3,,60.9,7.6
Miles Sanders,CAR,16,23.9,129,432,27.0,3.3,1,41,27,154,5.7,,60.6,3.8
Jerick McKinnon,KC,12,18.8,21,60,5.0,2.9,1,32,25,192,7.7,4,59.4,5.0
Zamir White,LV,17,5.4,104,451,26.5,4.3,1,19,15,98,6.5,,58.9,3.5
Joshua Kelley,LAC,17,17.5,107,405,23.8,3.8,2,12,8,32,4.0,,53.7,3.2
Clyde Edwards-Helaire,KC,15,11.0,70,223,14.9,3.2,1,22,17,188,11.1,1,53.1,3.5
Emari Demercado,ARI,14,19.5,58,284,20.3,4.9,2,30,21,119,5.7,,52.3,3.7
Royce Freeman,DAL,14,12.9,77,319,22.8,4.1,2,2,1,13,13.0,,45.2,3.2
Jamaal Williams,NO,13,20.8,106,306,23.5,2.9,1,20,18,62,3.4,,42.8,3.3
Jordan Mason,SF,17,3.9,40,206,12.1,5.2,3,4,3,31,10.3,,41.7,2.5
Elijah Mitchell,SF,11,7.5,75,281,25.5,3.7,2,8,6,14,2.3,,41.5,3.8
Chase Brown,CIN,12,3.7,44,179,14.9,4.1,,15,14,156,11.1,1,39.5,3.3
Pierre Strong,CLE,17,9.1,63,291,17.1,4.6,1,8,5,47,9.4,,37.8,2.2
Chris Rodriguez,WAS,13,7.1,51,247,19.0,4.8,2,2,2,12,6.0,,35.9,2.8
Darrell Henderson,LA,4,31.5,46,112,28.0,2.4,2,14,10,103,10.3,,33.5,8.4
