Player,Team,GP,Snaps/G,R Att,Ru Yds,Ru YPA,Ru TD,TAR,REC,Rec Yds,Rec YPC,Rec TD,FP,PPG
Cooper Kupp,LA,17,56.5,4,18,4.5,,191,145,1947,13.4,16,294.5,17.3
Deebo Samuel,SF,16,45.2,59,365,6.2,8,121,77,1405,18.2,6,262.0,16.4
Ja'Marr Chase,CIN,17,55.0,7,21,3.0,,128,81,1455,18.0,13,223.6,13.2
Justin Jefferson,MIN,17,53.2,6,14,2.3,,167,108,1616,15.0,10,222.4,13.1
Davante Adams,LV,16,50.8,,,,,169,123,1553,12.6,11,221.3,13.8
Mike Evans,TB,16,54.5,1,10,10.0,,114,74,1035,14.0,14,188.5,11.8
Tyreek Hill,MIA,17,46.9,9,96,10.7,,159,111,1239,11.2,9,185.5,10.9
Stefon Diggs,HOU,17,51.0,,,,,164,103,1225,11.9,10,182.5,10.7
Mike Williams,NYJ,16,48.1,,,,,129,76,1146,15.1,9,170.6,10.7
DK Metcalf,SEA,17,42.6,1,6,6.0,,129,75,967,12.9,12,169.3,10.0
Tyler Lockett,SEA,16,44.8,2,9,4.5,,107,73,1175,16.1,8,168.4,10.5
Diontae Johnson,CAR,16,53.8,5,53,10.6,,169,107,1161,10.9,8,167.4,10.5
Hunter Renfrow,LV,17,41.6,3,3,1.0,,128,103,1038,10.1,9,156.1,9.2
CeeDee Lamb,DAL,16,49.6,9,76,8.4,,120,79,1102,13.9,6,153.8,9.6
Keenan Allen,CHI,16,51.8,,,,,157,106,1138,10.7,6,151.8,9.5
Michael Pittman,IND,17,51.6,5,44,8.8,,129,88,1082,12.3,6,150.6,8.9
Tee Higgins,CIN,14,50.8,,,,,110,74,1091,14.7,6,145.1,10.4
DJ Moore,CHI,17,52.3,8,48,6.0,,163,93,1157,12.4,4,144.5,8.5
Chris Godwin,TB,14,59.5,4,21,5.2,1,127,98,1103,11.3,5,144.4,10.3
Brandin Cooks,DAL,16,47.8,2,21,10.5,,134,90,1037,11.5,6,141.8,8.9
Jaylen Waddle,MIA,16,49.2,2,3,1.5,1,140,104,1015,9.8,6,141.8,8.9
Darnell Mooney,ATL,17,50.5,6,32,5.3,1,140,81,1055,13.0,4,138.7,8.2
Amon-Ra St. Brown,DET,17,39.8,7,61,8.7,1,119,90,912,10.1,5,137.3,8.1
Terry McLaurin,WAS,17,53.0,1,12,12.0,,130,77,1053,13.7,5,136.5,8.0
Hollywood Brown,KC,16,54.1,1,5,5.0,,145,91,1008,11.1,6,135.3,8.5
Amari Cooper,CLE,15,51.4,,,,,104,68,865,12.7,8,134.5,9.0
Adam Thielen,CAR,13,53.2,1,2,2.0,,95,67,726,10.8,10,132.8,10.2
Christian Kirk,JAC,17,48.9,1,11,11.0,,103,77,982,12.8,5,130.6,7.7
Kendrick Bourne,NE,17,31.5,12,125,10.4,,70,55,800,14.5,5,125.5,7.4
DeVonta Smith,PHI,17,48.8,,,,,104,64,916,14.3,5,121.6,7.2
Van Jefferson,PIT,17,48.8,2,20,10.0,,89,50,802,16.0,6,118.2,7.0
A.J. Brown,PHI,13,38.9,2,10,5.0,,105,63,869,13.8,5,117.9,9.1
Tyler Boyd,TEN,16,50.5,2,22,11.0,,94,67,828,12.4,5,116.8,7.3
Brandon Aiyuk,SF,17,44.2,5,17,3.4,,84,56,826,14.8,5,114.3,6.7
K.J. Osborn,NE,17,41.1,1,10,10.0,,82,50,655,13.1,7,108.5,6.4
Chase Claypool,BUF,15,0.0,14,96,6.9,,105,59,860,14.6,2,107.6,7.2
Marvin Jones,DET,17,50.8,,,,,120,73,832,11.4,4,107.2,6.3
Marquez Callaway,PIT,17,43.3,,,,,84,46,698,15.2,6,105.8,6.2
DeAndre Hopkins,TEN,10,52.2,,,,,64,42,572,13.6,8,105.2,10.5
Tim Patrick,DEN,16,50.4,,,,,85,53,734,13.8,5,103.4,6.5
Jakobi Meyers,LV,17,50.1,1,9,9.0,,126,83,866,10.4,2,103.3,6.1
A.J. Green,ARI,16,55.4,,,,,92,54,848,15.7,3,102.8,6.4
Cedrick Wilson,NO,16,27.6,2,11,5.5,,61,45,602,13.4,6,102.8,6.4
Allen Lazard,NYJ,15,43.5,3,32,10.7,,60,40,513,12.8,8,102.5,6.8
Russell Gage,TB,14,37.9,,,,,94,66,770,11.7,4,97.0,6.9
Elijah Moore,CLE,11,38.9,5,54,10.8,1,77,43,538,12.5,5,95.2,8.7
Courtland Sutton,DEN,17,51.7,,,,,98,58,776,13.4,2,92.2,5.4
Robert Woods,HOU,9,60.3,8,46,5.8,1,69,45,556,12.4,4,92.2,10.2
Gabe Davis,JAC,16,28.4,,,,,63,35,549,15.7,6,90.9,5.7
Emmanuel Sanders,BUF,14,50.2,2,31,15.5,,72,42,626,14.9,4,89.7,6.4
Robbie Chosen,MIA,17,0.0,3,36,12.0,,110,53,519,9.8,5,85.5,5.0
Byron Pringle,WAS,17,27.1,,,,,60,42,568,13.5,5,84.8,5.0
Kalif Raymond,DET,16,41.6,4,28,7.0,,71,48,576,12.0,4,84.4,5.3
Mecole Hardman,KC,17,32.1,8,46,5.8,,83,59,693,11.7,2,81.9,4.8
Jarvis Landry,NO,12,36.4,6,40,6.7,2,87,52,570,11.0,2,81.0,6.8
Antonio Brown,TB,7,38.3,1,6,6.0,,62,42,545,13.0,4,79.1,11.3
Cole Beasley,NYG,16,38.6,,,,,112,82,693,8.5,1,77.3,4.8
Deonte Harty,BAL,13,19.2,5,41,8.2,,59,36,570,15.8,3,77.1,5.9
Donovan Peoples-Jones,DET,14,42.9,,,,,58,34,597,17.6,3,75.7,5.4
Bryan Edwards,NO,16,47.2,1,,0.0,,59,34,571,16.8,3,75.1,4.7
Quez Watkins,PIT,17,39.8,1,3,3.0,,62,43,647,15.0,1,73.0,4.3
Corey Davis,NYJ,9,43.8,,,,,59,34,492,14.5,4,71.2,7.9
Nick Westbrook-Ikhine,TEN,16,33.0,,,,,57,38,476,12.5,4,69.6,4.3
Braxton Berrios,MIA,16,23.4,7,40,5.7,2,65,46,431,9.4,2,69.1,4.3
Nelson Agholor,BAL,15,43.4,3,11,3.7,,64,37,473,12.8,3,66.4,4.4
Jalen Guyton,LV,16,32.6,7,34,4.9,,48,31,448,14.5,3,66.2,4.1
Randall Cobb,NYJ,12,25.2,1,1,1.0,,39,28,375,13.4,5,65.6,5.5
Laviska Shenault,SEA,16,39.2,11,41,3.7,,100,63,619,9.8,,64.0,4.0
DeVante Parker,PHI,10,44.4,,,,,73,40,515,12.9,2,63.5,6.3
Odell Beckham,MIA,8,40.6,2,14,7.0,,48,27,305,11.3,5,61.9,7.7
Freddie Swain,MIA,17,30.4,5,32,6.4,,40,25,343,13.7,4,61.5,3.6
Marquez Valdes-Scantling,KC,11,35.6,,,,,55,26,430,16.5,3,61.0,5.5
Henry Ruggs,LV,7,47.7,3,16,5.3,,36,24,469,19.5,2,60.5,8.6
Joshua Palmer,LAC,17,21.3,1,6,6.0,,49,33,353,10.7,4,59.9,3.5
Zay Jones,ARI,17,31.9,2,3,1.5,,70,47,546,11.6,1,58.9,3.5
Olamide Zaccheaus,WAS,17,30.8,1,2,2.0,,53,31,406,13.1,3,58.8,3.5
Jamison Crowder,WAS,12,40.8,,,,,71,51,447,8.8,2,58.7,4.9
Jauan Jennings,SF,16,15.4,,,,,38,24,282,11.8,5,58.2,3.6
Rashod Bateman,BAL,12,40.4,,,,,67,46,515,11.2,1,57.5,4.8
Zach Pascal,ARI,16,48.1,2,21,10.5,,69,38,384,10.1,3,56.5,3.5
DeAndre Carter,LV,17,25.6,10,89,8.9,,44,24,296,12.3,3,56.5,3.3
Michael Gallup,LV,9,43.0,,,,,62,35,445,12.7,2,56.5,6.3
